Order_ID,Product_Name,Category,Price,Quantity,Total_Sales,Customer_ID,Customer_Age,Customer_Gender,Purchase_Date,Purchase_Time,Age_Group,Year,Month,Month_Name,Quarter,Day_Name,Hour,Product_ID
OrderID28,sense,Toys,177.99,9,1601.91,bc77a516-4f9f-4f7c-a1b4-78ad02cb2ce2,49,Male,2024-03-31,13:59:35,46-60,2024,3,March,1,Sunday,13,28
OrderID29,campaign,Electronics,855.65,10,8556.5,875a4ebe-e6ef-4f17-89df-9d284f83b503,18,Male,2024-01-23,11:59:16,Under 18,2024,1,January,1,Tuesday,11,29
OrderID30,performance,Clothing,959.54,4,3838.16,c535da14-8156-422a-8f33-67a95a540348,64,Male,2024-03-04,06:01:38,60+,2024,3,March,1,Monday,6,30
OrderID31,whose,Books,208.77,1,208.77,a4108820-5676-449e-923e-2fea795924d0,62,Male,2024-05-06,08:05:32,60+,2024,5,May,2,Monday,8,31
OrderID32,fill,Home & Garden,269.58,10,2695.8,549751d4-883b-4dab-a09c-e799f48cd015,52,Male,2024-01-27,02:34:27,46-60,2024,1,January,1,Saturday,2,32
OrderID33,including,Books,156.78,3,470.34,50730e7d-3544-40c6-ae51-f69061d88a7f,36,Female,2024-04-19,18:02:59,31-45,2024,4,April,2,Friday,18,33
OrderID34,personal,Electronics,640.78,5,3203.9,10e7f967-de5c-4738-90f9-718bb24f2cd5,28,Male,2024-03-18,19:16:30,18-30,2024,3,March,1,Monday,19,34
OrderID35,already,Clothing,392.93,7,2750.51,07beed6e-bbeb-482b-b619-d85902326f99,32,Female,2024-01-25,11:22:09,31-45,2024,1,January,1,Thursday,11,35
OrderID36,follow,Books,963.66,1,963.66,37e78f7c-e7bc-40e0-babe-adc6cf6e5e9b,24,Female,2024-02-15,07:13:19,18-30,2024,2,February,1,Thursday,7,36
OrderID37,manager,Electronics,440.65,5,2203.25,d0c61243-502e-41fe-a7c0-ff8b60798866,22,Female,2024-02-01,09:02:08,18-30,2024,2,February,1,Thursday,9,37
OrderID38,chair,Home & Garden,926.33,6,5557.98,d50ecc50-9e83-4a6e-8789-27b358e9eaa1,59,Female,2024-03-11,15:30:54,46-60,2024,3,March,1,Monday,15,38
OrderID39,specific,Books,804.08,10,8040.8,ff444f8b-a15a-4abb-a81c-96b5714f6da9,68,Female,2024-02-28,21:16:20,60+,2024,2,February,1,Wednesday,21,39
OrderID40,answer,Toys,616.95,2,1233.9,6da467d6-7087-41b3-bcc3-8627c446e240,56,Male,2024-06-01,00:11:54,46-60,2024,6,June,2,Saturday,0,40
OrderID41,without,Toys,559.92,2,1119.84,d443e0ab-1098-4ac8-b1bf-bc83f102e321,48,Male,2024-02-26,17:52:05,46-60,2024,2,February,1,Monday,17,41
OrderID42,season,Electronics,552.12,9,4969.08,4d5c7dee-70ef-401b-8bde-b5fcae011fb3,48,Female,2024-02-26,12:37:15,46-60,2024,2,February,1,Monday,12,42
OrderID43,base,Toys,356.88,10,3568.8,a48927bf-f5fa-4872-962d-5ac0af2dba52,42,Female,2024-05-16,11:44:12,31-45,2024,5,May,2,Thursday,11,43
OrderID44,begin,Toys,259.28,10,2592.8,39e0e8b7-d008-4b0b-baac-63547b126aa7,50,Male,2024-04-25,11:03:00,46-60,2024,4,April,2,Thursday,11,44
OrderID45,individual,Electronics,407.42,5,2037.1,91574b39-bf3b-40b0-8ba5-92fda828953d,19,Female,2024-05-22,22:26:24,18-30,2024,5,May,2,Wednesday,22,45
OrderID46,reach,Toys,900.1,4,3600.4,9627212a-c2f8-407b-a872-7705281f7132,38,Male,2024-02-22,17:18:22,31-45,2024,2,February,1,Thursday,17,46
OrderID47,real,Home & Garden,728.82,3,2186.46,4aa6c2b1-bd33-40cf-a8be-52073c58fd2f,61,Female,2024-04-21,18:54:14,60+,2024,4,April,2,Sunday,18,47
OrderID48,power,Toys,429.7,6,2578.2,3cb2f636-a44d-4b48-9c63-3a28aba6ae5c,41,Female,2024-05-19,11:45:31,31-45,2024,5,May,2,Sunday,11,48
OrderID49,end,Clothing,409.57,5,2047.85,09de88b2-938c-4975-a259-709859607a3c,33,Male,2024-01-27,08:44:49,31-45,2024,1,January,1,Saturday,8,49
OrderID50,meeting,Clothing,511.57,5,2557.85,e95053d7-fe19-457b-a1da-8a26a6a3989e,47,Male,2024-01-18,23:28:43,46-60,2024,1,January,1,Thursday,23,50
OrderID51,question,Toys,385.93,6,2315.58,d1e889ef-d74e-4219-8edd-613bfecc6ce4,39,Female,2024-02-12,07:56:10,31-45,2024,2,February,1,Monday,7,51
OrderID52,mean,Electronics,506.23,7,3543.61,6ddcdd20-207b-4cc4-aa21-58028cf8da5a,63,Female,2024-03-19,08:37:20,60+,2024,3,March,1,Tuesday,8,52
OrderID53,action,Toys,408.83,8,3270.64,0ce6c0ee-d687-4bca-8784-cf57e4c63217,68,Male,2024-04-14,21:50:55,60+,2024,4,April,2,Sunday,21,53
OrderID54,peace,Toys,834.09,4,3336.36,46def10e-e1df-403a-bda7-43b9754248ee,30,Male,2024-02-21,17:27:12,18-30,2024,2,February,1,Wednesday,17,54
OrderID55,its,Electronics,161.26,7,1128.82,7243a8bb-6e88-4716-82ab-308abe7f534c,38,Male,2024-02-04,20:01:58,31-45,2024,2,February,1,Sunday,20,55
OrderID56,traditional,Toys,620.23,9,5582.07,5f38a34f-0586-474b-9a7b-a429c0c15d5e,53,Female,2024-05-06,19:23:24,46-60,2024,5,May,2,Monday,19,56
OrderID57,history,Toys,443.31,5,2216.55,6185f0f6-809f-4867-9085-5c24dea9f224,38,Female,2024-02-27,07:24:57,31-45,2024,2,February,1,Tuesday,7,57
OrderID58,ball,Books,292.62,1,292.62,41c007c1-487b-4cac-874a-c87a7688a374,67,Female,2024-02-09,15:51:37,60+,2024,2,February,1,Friday,15,58
OrderID59,along,Home & Garden,276.51,10,2765.1,e783e8e2-d3d0-4a78-a83b-234eac6c599f,40,Male,2024-03-03,12:37:59,31-45,2024,3,March,1,Sunday,12,59
OrderID60,look,Books,556.92,4,2227.68,5510eb14-6765-4a4d-ace0-f80cb24721b6,46,Female,2024-05-22,01:24:43,46-60,2024,5,May,2,Wednesday,1,60
OrderID61,contain,Home & Garden,122.75,4,491.0,ca590183-1b03-49b5-8820-bc9dea821e60,48,Male,2024-03-27,14:55:56,46-60,2024,3,March,1,Wednesday,14,61
OrderID62,debate,Clothing,617.47,4,2469.88,88fcad8a-6413-40fe-a003-1613dc3ce221,36,Male,2024-03-08,23:25:16,31-45,2024,3,March,1,Friday,23,62
OrderID63,expect,Books,955.26,9,8597.34,ee4464a4-46c8-4319-97de-4792f83dc72b,67,Male,2024-01-25,01:41:25,60+,2024,1,January,1,Thursday,1,63
OrderID64,executive,Toys,777.18,1,777.18,caf03c01-44a6-433d-9c66-8a55f72a63f8,29,Female,2024-05-19,23:41:43,18-30,2024,5,May,2,Sunday,23,64
OrderID65,bed,Electronics,647.81,3,1943.43,4f66a52b-7c5f-4a46-817d-bcd044806269,22,Male,2024-03-01,11:33:05,18-30,2024,3,March,1,Friday,11,65
OrderID66,bank,Home & Garden,616.91,9,5552.19,519f5785-6c18-4518-b091-b3ce9d753445,24,Female,2024-01-13,18:04:08,18-30,2024,1,January,1,Saturday,18,66
OrderID67,defense,Electronics,648.66,1,648.66,301c6519-4a45-4ffa-aaff-3f984931b601,69,Female,2024-03-10,23:51:16,60+,2024,3,March,1,Sunday,23,67
OrderID68,others,Clothing,382.19,10,3821.9,69df5ed4-d9b5-4c24-8880-cf5c3216ee32,39,Female,2024-05-15,22:10:03,31-45,2024,5,May,2,Wednesday,22,68
OrderID69,player,Home & Garden,683.12,8,5464.96,ba9081df-69e3-4e26-bac9-1a2108716ac9,34,Male,2024-02-08,21:24:06,31-45,2024,2,February,1,Thursday,21,69
OrderID70,we,Clothing,246.52,5,1232.6,37dc976d-49ac-4d88-a3a0-0694558fd0fb,30,Male,2024-03-18,02:50:20,18-30,2024,3,March,1,Monday,2,70
OrderID71,what,Toys,642.94,7,4500.58,5339a05a-6eec-4e6e-8f73-e42788d5ec5c,44,Male,2024-03-19,17:35:20,31-45,2024,3,March,1,Tuesday,17,71
OrderID72,his,Toys,211.38,10,2113.8,2d23bd7b-293f-4fe8-a76a-8820b852086e,60,Female,2024-01-27,06:27:32,46-60,2024,1,January,1,Saturday,6,72
OrderID73,officer,Home & Garden,766.07,7,5362.49,5c192679-e30d-4795-9526-0c3097ab115f,52,Female,2024-01-28,05:08:53,46-60,2024,1,January,1,Sunday,5,73
OrderID74,now,Books,295.76,4,1183.04,0323c9a2-812e-41b6-a24e-85d77edfc2a9,43,Male,2024-01-31,06:41:55,31-45,2024,1,January,1,Wednesday,6,74
OrderID75,determine,Toys,908.62,1,908.62,3a90b3ac-5a87-4d79-a9ce-18e7fe310ea8,38,Female,2024-05-01,22:06:27,31-45,2024,5,May,2,Wednesday,22,75
OrderID76,walk,Home & Garden,112.87,7,790.09,da40b57a-25d4-448b-9d87-636c4102c7f8,62,Female,2024-05-20,22:28:11,60+,2024,5,May,2,Monday,22,76
OrderID77,he,Home & Garden,710.54,5,3552.7,737af66b-a4c1-4a31-ac43-c7eff776af4c,50,Male,2024-04-13,02:46:12,46-60,2024,4,April,2,Saturday,2,77
OrderID78,management,Clothing,676.97,7,4738.79,50e4fa19-a07c-429d-b0d5-074f5ba01f6f,70,Male,2024-04-14,12:34:49,60+,2024,4,April,2,Sunday,12,78
OrderID79,training,Electronics,206.78,9,1861.02,a56954e0-807f-4baf-bb44-a39dd6271182,18,Male,2024-05-21,23:02:29,Under 18,2024,5,May,2,Tuesday,23,79
OrderID80,possible,Books,463.06,6,2778.36,d93b302d-22bc-44c7-bf18-6034b3ced497,30,Female,2024-04-06,13:28:26,18-30,2024,4,April,2,Saturday,13,80
OrderID81,Democrat,Electronics,125.27,6,751.62,586152ea-19a6-4af9-b49a-4fa8eba8488d,28,Female,2024-03-10,05:55:43,18-30,2024,3,March,1,Sunday,5,81
OrderID82,step,Clothing,844.63,9,7601.67,9d182f08-6560-4ada-8a61-0208a455c29e,42,Male,2024-02-03,00:55:59,31-45,2024,2,February,1,Saturday,0,82
OrderID83,clear,Electronics,841.83,5,4209.15,3066dadb-7c23-4b14-890d-f42d231056a3,36,Female,2024-01-18,01:08:27,31-45,2024,1,January,1,Thursday,1,83
OrderID84,eat,Clothing,806.43,4,3225.72,f9249f0f-137d-48a4-8e82-7e1de332dc43,26,Male,2024-02-08,05:35:31,18-30,2024,2,February,1,Thursday,5,84
OrderID85,seek,Toys,166.25,8,1330.0,6e4036b0-4c3d-4746-8895-6a38b4b88617,52,Female,2024-05-19,13:14:06,46-60,2024,5,May,2,Sunday,13,85
OrderID86,energy,Toys,586.0,9,5274.0,183dbb02-ae02-4100-b9d7-70dae638ba31,46,Female,2024-06-01,01:16:30,46-60,2024,6,June,2,Saturday,1,86
OrderID87,argue,Books,418.62,8,3348.96,307a9ea1-ee11-4c6a-83c9-0dc0795eb1bd,31,Male,2024-03-10,23:47:03,31-45,2024,3,March,1,Sunday,23,87
OrderID88,some,Toys,973.44,4,3893.76,cf709b5e-cd38-4de0-9950-2ec2dd4de5db,21,Female,2024-04-12,15:45:47,18-30,2024,4,April,2,Friday,15,88
OrderID89,new,Electronics,426.61,4,1706.44,0548f466-2033-4793-9810-e9f524440666,22,Male,2024-04-05,05:12:40,18-30,2024,4,April,2,Friday,5,89
OrderID90,sport,Toys,434.83,10,4348.3,6d514546-0a95-495b-b6ca-3bd79b86355e,34,Female,2024-03-17,05:41:23,31-45,2024,3,March,1,Sunday,5,90
OrderID91,cause,Books,689.21,7,4824.47,f3aa1438-5252-40ad-943d-bc58089f304d,53,Female,2024-05-12,22:28:11,46-60,2024,5,May,2,Sunday,22,91
OrderID92,usually,Toys,945.22,1,945.22,675a1819-3d3b-4c8d-a9d4-cf9c7e7ebcae,47,Male,2024-01-26,03:35:21,46-60,2024,1,January,1,Friday,3,92
OrderID93,hope,Electronics,301.09,10,3010.9,c776ca6f-f1ef-45c8-a045-972a584b36a9,25,Male,2024-01-14,01:07:52,18-30,2024,1,January,1,Sunday,1,93
OrderID94,without,Clothing,329.59,10,3295.9,8702dd3f-56b2-47b2-9c20-105a8c327ff3,35,Female,2024-01-11,16:54:09,31-45,2024,1,January,1,Thursday,16,94
OrderID95,senior,Home & Garden,234.98,4,939.92,a098f84e-f2cd-434f-b444-7742fd9dcb77,61,Female,2024-04-16,05:48:21,60+,2024,4,April,2,Tuesday,5,95
OrderID96,through,Home & Garden,962.67,3,2888.01,eecc7587-7a65-4385-ba5d-2e089862751d,26,Female,2024-03-19,19:59:14,18-30,2024,3,March,1,Tuesday,19,96
OrderID97,air,Electronics,430.08,10,4300.8,1634fed8-2e39-47af-957b-31c19cd5acd8,34,Female,2024-01-31,10:59:54,31-45,2024,1,January,1,Wednesday,10,97
OrderID98,family,Books,987.76,7,6914.32,a93ba171-b857-4435-b2dd-e011949254ec,44,Female,2024-01-05,07:27:50,31-45,2024,1,January,1,Friday,7,98
OrderID99,focus,Books,912.74,3,2738.22,806e6881-e459-4b4b-8783-e23008cc5ef9,36,Male,2024-03-14,02:41:23,31-45,2024,3,March,1,Thursday,2,99
OrderID100,wish,Home & Garden,783.87,9,7054.83,02e2bdea-957a-4225-a81e-a1aae35f7b04,38,Male,2024-05-12,06:48:21,31-45,2024,5,May,2,Sunday,6,100
OrderID101,off,Home & Garden,521.72,3,1565.16,57494b23-b03a-4c2c-94ee-465ff5d5521f,64,Male,2024-04-05,16:43:00,60+,2024,4,April,2,Friday,16,101
OrderID102,science,Toys,178.65,3,535.95,3c20dfa7-3710-4324-905d-07d3a1518308,39,Male,2024-03-30,22:16:06,31-45,2024,3,March,1,Saturday,22,102
OrderID103,record,Clothing,252.59,2,505.18,3ca583e8-38db-438b-a4db-6a0551989a9c,67,Male,2024-04-07,16:45:35,60+,2024,4,April,2,Sunday,16,103
OrderID104,power,Toys,745.16,10,7451.6,9965beb3-d688-4e47-bb63-ecd8bc2935f9,27,Female,2024-04-07,20:44:42,18-30,2024,4,April,2,Sunday,20,104
OrderID105,than,Books,218.83,6,1312.98,040a5122-21b6-44c8-8c6d-be3c7661f159,37,Male,2024-03-06,01:50:27,31-45,2024,3,March,1,Wednesday,1,105
OrderID106,her,Home & Garden,367.12,9,3304.08,d6add1be-080b-4bcb-b3e1-b9b4784dd0e9,50,Male,2024-05-29,05:17:49,46-60,2024,5,May,2,Wednesday,5,106
OrderID107,organization,Home & Garden,421.75,8,3374.0,de8dc9c5-c95d-4550-9d00-4f7059322458,59,Female,2024-01-02,00:44:51,46-60,2024,1,January,1,Tuesday,0,107
OrderID108,fear,Clothing,749.36,3,2248.08,f24ed7ad-5adf-4add-b545-df35ca823bb5,45,Male,2024-02-09,15:29:24,31-45,2024,2,February,1,Friday,15,108
OrderID109,best,Electronics,320.42,1,320.42,13fda9bf-f1fc-4422-8cc3-e016bfa08815,50,Male,2024-03-18,10:08:30,46-60,2024,3,March,1,Monday,10,109
OrderID110,week,Electronics,797.1,2,1594.2,53192d8d-2bab-4c27-9347-85dbe46b28cd,32,Male,2024-04-25,05:49:11,31-45,2024,4,April,2,Thursday,5,110
OrderID111,treat,Books,454.42,7,3180.94,a619bd86-058a-45d1-8cd1-c6ade654a9d4,43,Male,2024-02-08,07:44:49,31-45,2024,2,February,1,Thursday,7,111
OrderID112,perform,Electronics,844.9,1,844.9,670e8d5e-ce4c-46e3-9e64-bef768a28712,20,Male,2024-04-29,02:21:22,18-30,2024,4,April,2,Monday,2,112
OrderID113,oil,Electronics,313.75,7,2196.25,3a0c7606-3ae3-4901-8bae-9c10ad9b3e74,53,Male,2024-02-27,16:34:23,46-60,2024,2,February,1,Tuesday,16,113
OrderID114,step,Home & Garden,946.44,2,1892.88,371ccd75-773a-4b31-8c95-4df009dec974,41,Male,2024-04-22,07:03:54,31-45,2024,4,April,2,Monday,7,114
OrderID115,dream,Books,657.1,3,1971.3,9f679d0c-bcd1-4c34-b907-f7bbdf496178,36,Male,2024-05-02,02:18:36,31-45,2024,5,May,2,Thursday,2,115
OrderID116,hot,Home & Garden,804.29,8,6434.32,2a30dd57-81b0-4bec-878e-ca35f5461423,64,Female,2024-05-22,02:52:13,60+,2024,5,May,2,Wednesday,2,116
OrderID117,shake,Home & Garden,457.09,6,2742.54,1d0cd25b-89ad-4e09-8628-b134ca87d1b4,65,Male,2024-04-19,09:54:06,60+,2024,4,April,2,Friday,9,117
OrderID118,record,Electronics,232.91,3,698.73,d490767a-3908-4379-8d23-db401a4009c6,25,Female,2024-03-20,17:52:43,18-30,2024,3,March,1,Wednesday,17,118
OrderID119,color,Toys,383.03,7,2681.21,1b6727e1-384a-4f4f-b86d-40adef96b572,60,Male,2024-03-15,22:32:15,46-60,2024,3,March,1,Friday,22,119
OrderID120,star,Books,473.21,7,3312.47,ddd3a521-6c40-4846-add8-4500998c1e86,54,Female,2024-03-06,17:46:03,46-60,2024,3,March,1,Wednesday,17,120
OrderID121,draw,Home & Garden,165.2,5,826.0,fad1c90b-6fb6-4d15-8d47-60bd3db21cd1,38,Male,2024-03-28,14:33:05,31-45,2024,3,March,1,Thursday,14,121
OrderID122,training,Books,670.3,2,1340.6,df49194c-0f49-47ee-b37b-d33e7160821c,64,Female,2024-01-12,16:58:40,60+,2024,1,January,1,Friday,16,122
OrderID123,else,Home & Garden,734.82,5,3674.1,b7e904f3-5499-40f7-b2f5-2400a537977b,32,Male,2024-05-20,01:21:04,31-45,2024,5,May,2,Monday,1,123
OrderID124,very,Books,991.87,5,4959.35,35452741-6a76-45b9-acc9-3ff354f83a35,58,Female,2024-01-31,11:31:05,46-60,2024,1,January,1,Wednesday,11,124
OrderID125,public,Electronics,476.31,9,4286.79,b43d7fc9-dfa0-41b1-956f-9adc7e3cc140,46,Male,2024-01-21,23:19:52,46-60,2024,1,January,1,Sunday,23,125
OrderID126,try,Books,312.14,4,1248.56,46cb1d73-ed9b-47a9-bf65-7e7e71c49bba,46,Female,2024-01-15,09:16:11,46-60,2024,1,January,1,Monday,9,126
OrderID127,close,Clothing,967.96,3,2903.88,09cc0a0d-f783-43b9-a47e-d1eb06cab242,42,Male,2024-02-02,14:01:02,31-45,2024,2,February,1,Friday,14,127
OrderID128,decade,Toys,106.37,4,425.48,c568362b-1bd1-4c56-9d16-5ce1f0cbadc8,64,Female,2024-01-18,10:54:52,60+,2024,1,January,1,Thursday,10,128
OrderID129,ever,Books,385.38,3,1156.14,1b0f76b1-8345-4781-90da-ae9f0e0be92f,70,Female,2024-01-08,14:14:26,60+,2024,1,January,1,Monday,14,129
OrderID130,along,Toys,289.77,2,579.54,f0327034-6706-4a7b-b0f8-92bd391a27f8,38,Male,2024-03-13,10:08:17,31-45,2024,3,March,1,Wednesday,10,130
OrderID131,appear,Books,524.46,5,2622.3,d9183321-48a2-49c7-b559-67cd3bea1e9c,20,Female,2024-03-05,13:11:27,18-30,2024,3,March,1,Tuesday,13,131
OrderID132,begin,Electronics,886.78,1,886.78,a665f6ab-a2fe-4266-b7c1-cfe487b67d61,47,Male,2024-04-18,23:48:04,46-60,2024,4,April,2,Thursday,23,132
OrderID133,perhaps,Electronics,136.34,3,409.02,108c4680-4cf0-4de8-ab0c-ab2dc989be0e,57,Female,2024-04-10,09:56:43,46-60,2024,4,April,2,Wednesday,9,133
OrderID134,see,Clothing,645.49,5,3227.45,cc858003-861c-41b8-833c-cf886b002f62,57,Female,2024-05-21,22:28:39,46-60,2024,5,May,2,Tuesday,22,134
OrderID135,partner,Home & Garden,881.93,6,5291.58,d527dd89-c4c0-4ea1-8900-c4ba0318a0e6,67,Female,2024-02-11,22:23:58,60+,2024,2,February,1,Sunday,22,135
OrderID136,never,Electronics,452.36,2,904.72,0763c81b-8f37-4dcb-aaf6-6a9f2b4d7bd0,44,Male,2024-04-27,23:41:31,31-45,2024,4,April,2,Saturday,23,136
OrderID137,military,Books,488.45,1,488.45,dcf494be-e0a6-4885-bed4-f129475a3cff,62,Female,2024-03-22,21:26:17,60+,2024,3,March,1,Friday,21,137
OrderID138,reach,Electronics,608.79,8,4870.32,d3ef9278-e175-4f67-ad62-16760f4ac895,33,Male,2024-03-13,12:47:36,31-45,2024,3,March,1,Wednesday,12,138
OrderID139,professor,Books,773.78,1,773.78,5b8011d5-5af0-4748-9e32-e53c20cc09af,18,Female,2024-03-12,22:49:06,Under 18,2024,3,March,1,Tuesday,22,139
OrderID140,five,Toys,404.41,9,3639.69,8445790f-bddd-48ee-ae1f-c84e4b91c8d9,38,Female,2024-03-25,13:20:11,31-45,2024,3,March,1,Monday,13,140
OrderID141,thought,Books,122.68,9,1104.12,0323762b-787f-4c15-87b3-1f35104d5020,55,Male,2024-01-01,15:12:55,46-60,2024,1,January,1,Monday,15,141
OrderID142,food,Electronics,717.74,1,717.74,1e2c5785-96ce-4807-8a32-252f03cbfaee,35,Male,2024-04-29,12:27:26,31-45,2024,4,April,2,Monday,12,142
OrderID143,remain,Toys,535.31,2,1070.62,07abd47f-2041-4ae2-aada-25234dd20056,30,Male,2024-03-20,08:16:48,18-30,2024,3,March,1,Wednesday,8,143
OrderID144,mention,Clothing,869.62,5,4348.1,5801aa82-f73b-415f-9179-67efd6179d9c,64,Female,2024-03-30,11:00:01,60+,2024,3,March,1,Saturday,11,144
OrderID145,majority,Clothing,520.34,5,2601.7,37de69a7-5be4-4d1e-bd93-a10c739d18a3,27,Female,2024-03-19,18:52:50,18-30,2024,3,March,1,Tuesday,18,145
OrderID146,low,Books,358.83,5,1794.15,4feb58ff-5610-438d-a348-d9c7bb460463,33,Male,2024-04-05,14:04:38,31-45,2024,4,April,2,Friday,14,146
OrderID147,claim,Toys,159.13,5,795.65,2a8f6456-defe-4184-94d1-906420dff7b8,19,Male,2024-03-02,20:44:16,18-30,2024,3,March,1,Saturday,20,147
OrderID148,lawyer,Clothing,917.01,4,3668.04,4fbedf44-c2dc-4972-9738-b870e159d88e,64,Female,2024-01-20,11:28:25,60+,2024,1,January,1,Saturday,11,148
OrderID149,executive,Books,300.13,4,1200.52,b8711ef5-e2d3-48dd-92be-18f7d9dae3f3,66,Male,2024-01-01,06:16:37,60+,2024,1,January,1,Monday,6,149
OrderID150,put,Toys,133.37,7,933.59,cb709890-72a4-4330-af2d-53fdbfa7647c,70,Female,2024-02-15,23:35:50,60+,2024,2,February,1,Thursday,23,150
OrderID151,save,Toys,386.95,5,1934.75,6444aa40-a30b-417d-a715-0e1caaa9aaf7,62,Male,2024-02-10,06:19:19,60+,2024,2,February,1,Saturday,6,151
