,Date,Year,Month,Month_Name,Quarter,Day,Day Name
56,2024-02-27,2024,2,February,Q1,27,Tuesday
57,2024-02-09,2024,2,February,Q1,9,Friday
58,2024-03-03,2024,3,March,Q1,3,Sunday
60,2024-03-27,2024,3,March,Q1,27,Wednesday
64,2024-03-01,2024,3,March,Q1,1,Friday
65,2024-01-13,2024,1,January,Q1,13,Saturday
66,2024-03-10,2024,3,March,Q1,10,Sunday
67,2024-05-15,2024,5,May,Q2,15,Wednesday
68,2024-02-08,2024,2,February,Q1,8,Thursday
72,2024-01-28,2024,1,January,Q1,28,Sunday
73,2024-01-31,2024,1,January,Q1,31,Wednesday
74,2024-05-01,2024,5,May,Q2,1,Wednesday
75,2024-05-20,2024,5,May,Q2,20,Monday
76,2024-04-13,2024,4,April,Q2,13,Saturday
78,2024-05-21,2024,5,May,Q2,21,Tuesday
79,2024-04-06,2024,4,April,Q2,6,Saturday
81,2024-02-03,2024,2,February,Q1,3,Saturday
87,2024-04-12,2024,4,April,Q2,12,Friday
88,2024-04-05,2024,4,April,Q2,5,Friday
89,2024-03-17,2024,3,March,Q1,17,Sunday
90,2024-05-12,2024,5,May,Q2,12,Sunday
91,2024-01-26,2024,1,January,Q1,26,Friday
93,2024-01-11,2024,1,January,Q1,11,Thursday
94,2024-04-16,2024,4,April,Q2,16,Tuesday
97,2024-01-05,2024,1,January,Q1,5,Friday
98,2024-03-14,2024,3,March,Q1,14,Thursday
101,2024-03-30,2024,3,March,Q1,30,Saturday
102,2024-04-07,2024,4,April,Q2,7,Sunday
104,2024-03-06,2024,3,March,Q1,6,Wednesday
105,2024-05-29,2024,5,May,Q2,29,Wednesday
106,2024-01-02,2024,1,January,Q1,2,Tuesday
111,2024-04-29,2024,4,April,Q2,29,Monday
113,2024-04-22,2024,4,April,Q2,22,Monday
114,2024-05-02,2024,5,May,Q2,2,Thursday
117,2024-03-20,2024,3,March,Q1,20,Wednesday
120,2024-03-28,2024,3,March,Q1,28,Thursday
121,2024-01-12,2024,1,January,Q1,12,Friday
124,2024-01-21,2024,1,January,Q1,21,Sunday
128,2024-01-08,2024,1,January,Q1,8,Monday
129,2024-03-13,2024,3,March,Q1,13,Wednesday
130,2024-03-05,2024,3,March,Q1,5,Tuesday
131,2024-04-18,2024,4,April,Q2,18,Thursday
132,2024-04-10,2024,4,April,Q2,10,Wednesday
135,2024-04-27,2024,4,April,Q2,27,Saturday
136,2024-03-22,2024,3,March,Q1,22,Friday
139,2024-03-25,2024,3,March,Q1,25,Monday
140,2024-01-01,2024,1,January,Q1,1,Monday
146,2024-03-02,2024,3,March,Q1,2,Saturday
150,2024-02-10,2024,2,February,Q1,10,Saturday
151,2024-02-14,2024,2,February,Q1,14,Wednesday
152,2024-05-08,2024,5,May,Q2,8,Wednesday
154,2024-04-08,2024,4,April,Q2,8,Monday
157,2024-02-13,2024,2,February,Q1,13,Tuesday
167,2024-05-26,2024,5,May,Q2,26,Sunday
168,2024-05-24,2024,5,May,Q2,24,Friday
169,2024-04-23,2024,4,April,Q2,23,Tuesday
170,2024-05-09,2024,5,May,Q2,9,Thursday
171,2024-04-03,2024,4,April,Q2,3,Wednesday
178,2024-01-07,2024,1,January,Q1,7,Sunday
179,2024-01-24,2024,1,January,Q1,24,Wednesday
183,2024-05-05,2024,5,May,Q2,5,Sunday
195,2024-01-03,2024,1,January,Q1,3,Wednesday
196,2024-06-04,2024,6,June,Q2,4,Tuesday
200,2024-02-05,2024,2,February,Q1,5,Monday
203,2024-02-29,2024,2,February,Q1,29,Thursday
204,2024-01-06,2024,1,January,Q1,6,Saturday
206,2024-04-17,2024,4,April,Q2,17,Wednesday
220,2024-04-30,2024,4,April,Q2,30,Tuesday
221,2024-05-17,2024,5,May,Q2,17,Friday
228,2024-03-09,2024,3,March,Q1,9,Saturday
230,2024-04-15,2024,4,April,Q2,15,Monday
232,2024-02-16,2024,2,February,Q1,16,Friday
244,2024-01-16,2024,1,January,Q1,16,Tuesday
249,2024-04-11,2024,4,April,Q2,11,Thursday
256,2024-01-22,2024,1,January,Q1,22,Monday
261,2024-02-20,2024,2,February,Q1,20,Tuesday
264,2024-02-18,2024,2,February,Q1,18,Sunday
265,2024-02-25,2024,2,February,Q1,25,Sunday
272,2024-02-06,2024,2,February,Q1,6,Tuesday
274,2024-04-04,2024,4,April,Q2,4,Thursday
275,2024-05-13,2024,5,May,Q2,13,Monday
276,2024-05-28,2024,5,May,Q2,28,Tuesday
283,2024-01-17,2024,1,January,Q1,17,Wednesday
287,2024-05-18,2024,5,May,Q2,18,Saturday
291,2024-04-01,2024,4,April,Q2,1,Monday
302,2024-05-30,2024,5,May,Q2,30,Thursday
306,2024-04-24,2024,4,April,Q2,24,Wednesday
312,2024-03-21,2024,3,March,Q1,21,Thursday
315,2024-03-07,2024,3,March,Q1,7,Thursday
356,2024-01-04,2024,1,January,Q1,4,Thursday
362,2024-03-24,2024,3,March,Q1,24,Sunday
384,2024-01-09,2024,1,January,Q1,9,Tuesday
405,2024-03-29,2024,3,March,Q1,29,Friday
421,2024-04-09,2024,4,April,Q2,9,Tuesday
460,2024-06-03,2024,6,June,Q2,3,Monday
467,2024-01-30,2024,1,January,Q1,30,Tuesday
483,2024-05-11,2024,5,May,Q2,11,Saturday
506,2024-02-07,2024,2,February,Q1,7,Wednesday
529,2024-03-26,2024,3,March,Q1,26,Tuesday
552,2024-03-23,2024,3,March,Q1,23,Saturday
562,2024-05-14,2024,5,May,Q2,14,Tuesday
569,2024-05-10,2024,5,May,Q2,10,Friday
611,2024-01-19,2024,1,January,Q1,19,Friday
651,2024-01-10,2024,1,January,Q1,10,Wednesday
673,2024-02-19,2024,2,February,Q1,19,Monday
679,2024-02-24,2024,2,February,Q1,24,Saturday
934,2024-02-17,2024,2,February,Q1,17,Saturday
